IDText,text
TXT059,"Ini intinya industri di Indonesia sudah siap belum buat menerima mahasiswa magang. kalau seperti jepang, eropa, n us ok lah kalau Indonesia saya gak yakin"
TXT060,"Konsep pendidikan ala makarim itu adalah konsep khusus utk satu kepentingan, tdk menyeluruh kepada kebutuhan"
TXT061,selalu cerdas
TXT062,"Ini baru model pendidikan yg inovatif, Semangat berinovasi bung Nadim... Salam Satu Jiwa dari bumi Kampus Merdeka..."
TXT063,setuju sih pak
TXT064,kapan diterapkan? trus mahasiswa yg sudah semester atas apa diberlakukan jg? jujur pengen ngerasain kebijakan ini :v
TXT065,"kampus belum siap, hasilnya akan nol. percuma"
TXT066,"Klo negara mau, harusnya pendidikan ditegakkan dari wilayah terluar indonesia.. n alangkah bijaknya pak mentri meninjau wilayah2 terjauh indonesia agar tdk tertinggal..."
TXT067,"budak korporat, selamat datang"
TXT068,"keren mas menteri, saya sangat mendukung n semoga semunya juga mendukung menuju Indonesia Maju."
TXT069,Efisien  Efektif professional (piawai )di bidangnya masing masing 😎😆😀🙏👍
TXT070,"hanya akan jadi wacana. pak mentri tolong kurangi omdo begini, bikin resah"
TXT071,"Ntaps nambah ilmu n pengatahuan , makasi mas kemendikbud"
TXT072,"omdo lagi omdo lagi, lucunya negeriku wkwk"
TXT073,Iya nasib nih apalagi yg kuliahnya gak ad magangnya kyk gw :(
TXT074,"kurang setuju, yakin akan terealisasi?"
TXT075,Biar pernah kerja di dunia nyata\\n
TXT076,"keren, sangat setuju, saya dosen .... sangat mendukung.... minta bimbingan nya pak mentri"
TXT077,Benar pak
TXT078,Kuliah mahal bangke
TXT079,semangat semoga terlaksana
TXT080,Mas Mentri.. memang orang cerdas.. dunia pendidikan indonesia sangat butuh inovasi!!!  sudah waktunya Indonesia Berubah..
TXT081,memang gitu bro jdi mohon doa nya semoga terealisasi
TXT082,sukseskan kampus merdeka
TXT083,serius ini keren
TXT084,Hancur dunia pendidikan
TXT085,"Keren, biar mereka ngerti dunia kerja tu kyk gimana, b"
TXT086,"kampus belum siap, hasilnya akan nol. percuma"
TXT087,Keren programnya.Sukses selalu pak Nadiem.
TXT088,"Satu kata... keren, lanjutkan"
TXT089,Maju terus mas Nadiem untuk membenahi pendidikan Indonesia!
TXT090,Doktrin mereka bahaya sekali\\n
TXT091,Buat apa magang Buat apa magang Kalo melamar butuh ORANG DALEM
TXT092,saya akan dukung kebijakan ini
TXT093,Setuju sekali
TXT094,"Sama, aku setuju si sm pak nadiem"
TXT095,"Kampus sengsara Mahasiswa merdeka. tolong jgn sibuk menata kebijakan, lihat kondisi lapangan"
TXT096,"Kacau.. mau diapakan lagi pendidikan indonesia ini. udah rumit, malah makin rumit"
TXT097,Ada maksud terselubung
TXT098,"setuju nih, gw selama jadi mahasiswa ga pernah magang :( jadi canggung mau cari kerja"
TXT099,kebijakan apa ini kok makin rumit
TXT100,Tetapi saya rasa masih banyak faktor yg harus dipertimbangkan untuk hal itu.
TXT101,Bismillah!
TXT102,Wow ini presentasi yg baik n bagus sekali buat pendidikan indonesia
TXT103,benar mas kadang  kebanyakan kurikulum di pendidikan kuliah itu sudah ketinggalan sama yg di butuhkan industri  Dengan cara memperpanjang masa magang bakal membantu mahasiswa banget dalam mempelajari ilmu ilmu baru yg relevan dengan industri
TXT104,"omdo, ladang korupsi, ladang bisnis"
TXT105,Kemendikbud ngurusin mahasiswa? sd sampai sma dibenerin dulu ya
TXT106,ga digaji haha percuma
TXT107,"saya kira ini akan tetap jadi borok di pendidikan indonesia, lagi lagi perkara pemerataan. rumit sih n saya firasat ini akan gagal"
TXT108,ditunggu kebijakan nya buat politeknik/ vokasi mas mentri
TXT109,"semoga nnti meniru yg di India , taklukan dunia , membangun koneksi ke global"
TXT110,mantap deh
TXT111,ayo kawan kawal n kritisi gagasan merdeka ini
TXT112,"jangan ambil pusing, segera cek kondisi lapangan saja pak. meresahkan"
TXT113,Semoga dengan adanya kebijakan ini biaya kuliah d kampus negeri bisa terjangkau oleh anak anak ekonomi kelas bawah UI IPB UGM dll
TXT114,"apalagi kalau jadi mahasiswa cuman kupu kupu alias, kuliah pulang kuliah pulang, bablas deh lulus gak bisa apa, ilmu belum tentu bisa, manajerial gak bisa, anak smk aja mungkin lebih terampil,"
TXT115,"mantap pak menteri pendidikan 👍,😎🙏,-"
TXT116,"Ini mas Nadiem ini, Mentri yg brilian"
TXT117,asyik nih
TXT118,Gak bisa semua jurusan yg bisa hanya jurusan yg mengarah ke ilmu terapan saja yg bisa ikut program ini
TXT119,"Semoga Pak Nadiem Makarim Menteri Pendidikan sukses n inovasi pendidikan yg merata sampai pelosok daerah, Aamiin. "
TXT120,"memang seharusnya dari dulu mahasiswa Indonesia harus lebih digembor sih tentang praktikum mau apapun itu jenis perguruan tingginya, semoga dengan adanya gebrakan dari Kementerian pendidikan kita, semoga Indonesia menjadi baik."
TXT121,bakal seru nih
TXT122,"Kalau mau Merdeka Belajar, wadah pembelajaran juga harus Merdeka Bayar"
TXT123,"Mudahan segera terealisasi,😡"
TXT124,masih ragu sih soalnya banyak yg kontra juga
TXT125,"Iya bro gw dulu kul di australia juga gitu, kerja sambilan + intern + studi, bener2 penuh 🤣🤣. Hasilnya ya syukurlah udah mulai kerasa 😁"
TXT126,plis pemerataan jgn PTN doang yg diperhatiin 🙏🙏🙏
TXT127,Ini sih keren asli.
TXT128,"kampus belum siap, hasilnya akan nol. percuma"
TXT129,"Sebenarnya Indonesia banyak orang pintar seperti bpk Nadiem tpi dulu presiden mmg tdk mau memakai orang pinter, yg di pakai hanya orang pinter untuk korupsi doang, hanya bpk Presiden Jokowi yg berani mengambil orang jenius n benar pintar, bukan pintar politik busuk seperti Fadli zonk"
TXT130,"Sebagai calon mahasiswa, saya sangat antusias dengan program yg di presentasikan bapak mentri"
TXT131,aduh pusing
TXT132,Semoga warga kampus segera sejalan dg pemikiran mas menteri..
TXT133,"Gini nih baru kuliah memang baik, bukan 4 tahun ga jelas cuma 1 ilmu aja."
TXT134,"ditunggu aksi nyatanya, jgn rencana tok ga ada aksi. PERCUMA PAK. "
TXT135,"tebar janji terus, wacana, omdo"
TXT136,"sebentar, pelaksanannya yakin akan lurus? dari ide aman, tp pelaksanannya percuma kalo duit dikorupsi. saya ga setuju, mending jgn terllau banyak konsep. kebijakan kebijakan mulu"
TXT137,Mantap
TXT138,"jauhkan dosen n guru dari tugas yg administratif dong pak menteri,  ga ada yg ngajar. sama aja hahaha"
TXT139,"Betul, inilah pemikiran kaum muda yg tak pernah dipikirkan oleh menteri sebelum nya, nggak tau dia ngerjain apa sampai dipecat ."
TXT140,Awas! Kalian mahasiswa hanya disiapkan untuk dijadikan buruh upah murah oleh negara
TXT141,"trgntung kampus/ prodi kali yak banyak prodi yg g nerapin sistem magang. kalo dipaksa ada magang ya sulit, program nyusahin nih"
TXT142,Khawatirnya mengincar gelar n minus karya
TXT143,belajar praktik itu perlu
TXT144,Ini masih abstarck hanya buat motivasi saja. Sumpah ya analisanya keren banget. Karena melihat kondisi sekitar and kasus sebenenarnya. tp ingat terkadang kita butuh hidup yg gila untuk membentuk perubahan.
TXT145,rumit rumit rumit pasti gagal2
TXT146,Harus gitu.. Mentri harus tau semua di kementriannya..
TXT147,"kebijakan ini sulit diterapkan apa lagi di masa seperti ini, jatuhnya akan jadi omdo aja mas"
TXT148,"iya betul , ngga semua jurusan ada magangnya"
TXT149,"Penjelasan beliau bisa dinikmati semua kalangan. Istilah -istilah seperti prodi, akreditasi dijelaskan dengan bahasa sederhana. Semoga pendidikan di Indonesia semakin maju."
TXT150,Istimewahhhhhh... majulah indonesia kita....
TXT151,ikutan aja lah
TXT152,Kunci menjadi negara maju : Pendidikan!
TXT153,"praktek tanpa didasari teori yg seimbang bakal praktek asal asalan, banyak salah karena ga paham yg dia kerjakan, "
TXT154,"Ini yg kita biasanya sebut keinginan, bukan sekedar menjabat. keinginan utk melakukan yg terbaik bagi bangsa, merubah utk kebaikan, berpikir di luar biasanya. mantap pak menteri. "
TXT155,"ITUlah CARA yg paling baik n BERKWALITAS,  MAJU terus, memang dilatih belajar n bekerja baru boleh TERJUN JADI pekerja yg BERKWALITAS n PROFESIONAL, Karena SEIRING Ada teori serta PRAKTIK belajar BERADAPTASI harus TERLATIH itulah TERCIPTA SDM yg unggul n BERKWALITAS."
TXT156,Efisien  Efektif professional (piawai )di bidangnya masing masing 😎😆😀🙏👍
TXT157,"Mahasiswa skrg yg penting cepet lulus,  ngambil KKN yg deket n cepet, ngambil magang jg yg deket n cepet, dah lulus trs bingung mw ngapain."
TXT158,yuk semangat
TXT159,Keren binus selangkah lebih maju 👍👍👍
TXT160,korupsi lagi nih bau bau
TXT161,"Kebijakan mas Menteri ini menjawab konteks sekarang yg serba cepat, "
TXT162,"Ini baru namanya presentasi, slide nya bagus, isinya jelas, n tujuannya ada. Bukan salin dr dokumen... top mas menteri"
TXT163,"Indonesia makin luar biasa keren ,  ayo bersatu biar negara tetangga pada keok kalau kita kuat "
TXT164,Luar biasa. Saya setuju sekali 3smester akhir mhasiswa kkn di daerah seluruh indonesia. Ga perlu di ragukan lagi. Ini salah satu solusi memajukan bangsa. Semangat pak nadiem
TXT165,"Sebagai calon mahasiswa tahun 2020, sangat sangat antusias buat memulai, keren."
TXT166,Chanel apaan ini coba ga guna tau kita semua tidak ngerti goblokkk\\n
TXT167,Dimudahkan  buat prodi baru bukan berarti kualitasnya asal asalan karena jgn sampai kualitas pendidikan kita makin menurun akibat biaya mahal n inflasi pendidikan yg tinggi.
TXT168,Setuju saya pak
TXT169,saya pesimis dengan mental birokrasi skrg untuk mewujudkan itu.
TXT170,revoluisioner semoga sukses
TXT171,"kebijakan yg terlalu sempurna, di belakang banyak boroknya. korupsi misalnya"
TXT172,"aduh omdo banget, mana kenyataannya"
TXT173,"bisa bisa ayo sukseskan bersama, ini kebijakan keren loh untuk peningkatan pendidikan "
TXT174,Efisien  Efektif professional (piawai )di bidangnya masing masing 😎😆😀🙏👍
TXT175,Efisien  Efektif professional (piawai )di bidangnya masing masing 😎😆😀🙏👍
TXT176,"mirip sistem jepang + eropa, sulit diterapkan di indo"
TXT177,"tolong jgn sibuk menata kebijakan, lihat kondisi lapangan. saya gak setuju!"
TXT178,saya pernah rasakan sulitnya cari perusahaan yg mau terima saya magang tanpa bantuan orang dalam
TXT179,Klo emg mau 3 semester digaji dong pak:( 🤣
TXT180,Makanya kita perlu mnguasai beberapa bidang ilmu yg lain. Dunia kerja skrng beberapa bidang ilmu di gabungkan jadi satu n saling bersinergi
