IDText,teks,sentimen
TXT089,Maju terus mas Nadiem untuk membenahi pendidikan Indonesia!,positif
TXT090,Doktrin mereka bahaya sekali\\n,negatif
TXT091,Buat apa magang Buat apa magang Kalo melamar butuh ORANG DALEM,negatif
TXT092,saya akan dukung kebijakan ini,positif
TXT093,Setuju sekali,positif
TXT094,"Sama, aku setuju si sm pak nadiem",positif
TXT095,"Kampus sengsara Mahasiswa merdeka. tolong jgn sibuk menata kebijakan, lihat kondisi lapangan",negatif
TXT096,"Kacau.. mau diapakan lagi pendidikan indonesia ini. udah rumit, malah makin rumit",negatif
TXT097,Ada maksud terselubung,negatif
TXT098,"setuju nih, gw selama jadi mahasiswa ga pernah magang :( jadi canggung mau cari kerja",positif
TXT099,kebijakan apa ini kok makin rumit,negatif
TXT100,Tetapi saya rasa masih banyak faktor yg harus dipertimbangkan untuk hal itu.,negatif
TXT101,Bismillah!,positif
TXT102,Wow ini presentasi yg baik n bagus sekali buat pendidikan indonesia,positif
TXT103,benar mas kadang  kebanyakan kurikulum di pendidikan kuliah itu sudah ketinggalan sama yg di butuhkan industri  Dengan cara memperpanjang masa magang bakal membantu mahasiswa banget dalam mempelajari ilmu ilmu baru yg relevan dengan industri,positif
TXT104,"omdo, ladang korupsi, ladang bisnis",negatif
TXT105,Kemendikbud ngurusin mahasiswa? sd sampai sma dibenerin dulu ya,negatif
TXT106,ga digaji haha percuma,negatif
TXT107,"saya kira ini akan tetap jadi borok di pendidikan indonesia, lagi lagi perkara pemerataan. rumit sih n saya firasat ini akan gagal",negatif
TXT108,ditunggu kebijakan nya buat politeknik/ vokasi mas mentri,negatif
TXT109,"semoga nnti meniru yg di India , taklukan dunia , membangun koneksi ke global",positif
TXT110,mantap deh,positif
TXT111,ayo kawan kawal n kritisi gagasan merdeka ini,negatif
TXT112,"jangan ambil pusing, segera cek kondisi lapangan saja pak. meresahkan",negatif
TXT113,Semoga dengan adanya kebijakan ini biaya kuliah d kampus negeri bisa terjangkau oleh anak anak ekonomi kelas bawah UI IPB UGM dll,positif
TXT114,"apalagi kalau jadi mahasiswa cuman kupu kupu alias, kuliah pulang kuliah pulang, bablas deh lulus gak bisa apa, ilmu belum tentu bisa, manajerial gak bisa, anak smk aja mungkin lebih terampil,",negatif
TXT115,"mantap pak menteri pendidikan 👍,😎🙏,-",positif
TXT116,"Ini mas Nadiem ini, Mentri yg brilian",positif
TXT117,asyik nih,positif
TXT118,Gak bisa semua jurusan yg bisa hanya jurusan yg mengarah ke ilmu terapan saja yg bisa ikut program ini,negatif
TXT119,"Semoga Pak Nadiem Makarim Menteri Pendidikan sukses n inovasi pendidikan yg merata sampai pelosok daerah, Aamiin. ",positif
TXT120,"memang seharusnya dari dulu mahasiswa Indonesia harus lebih digembor sih tentang praktikum mau apapun itu jenis perguruan tingginya, semoga dengan adanya gebrakan dari Kementerian pendidikan kita, semoga Indonesia menjadi baik.",positif
TXT121,bakal seru nih,positif
TXT122,"Kalau mau Merdeka Belajar, wadah pembelajaran juga harus Merdeka Bayar",negatif
TXT123,"Mudahan segera terealisasi,😡",positif
TXT124,masih ragu sih soalnya banyak yg kontra juga,negatif
TXT125,"Iya bro gw dulu kul di australia juga gitu, kerja sambilan + intern + studi, bener2 penuh 🤣🤣. Hasilnya ya syukurlah udah mulai kerasa 😁",positif
TXT126,plis pemerataan jgn PTN doang yg diperhatiin 🙏🙏🙏,negatif
TXT127,Ini sih keren asli.,positif
TXT128,"kampus belum siap, hasilnya akan nol. percuma",negatif
TXT129,"Sebenarnya Indonesia banyak orang pintar seperti bpk Nadiem tpi dulu presiden mmg tdk mau memakai orang pinter, yg di pakai hanya orang pinter untuk korupsi doang, hanya bpk Presiden Jokowi yg berani mengambil orang jenius n benar pintar, bukan pintar politik busuk seperti Fadli zonk",positif
TXT130,"Sebagai calon mahasiswa, saya sangat antusias dengan program yg di presentasikan bapak mentri",positif
TXT131,aduh pusing,negatif
TXT132,Semoga warga kampus segera sejalan dg pemikiran mas menteri..,positif
TXT133,"Gini nih baru kuliah memang baik, bukan 4 tahun ga jelas cuma 1 ilmu aja.",positif
TXT134,"ditunggu aksi nyatanya, jgn rencana tok ga ada aksi. PERCUMA PAK. ",negatif
TXT135,"tebar janji terus, wacana, omdo",negatif
TXT136,"sebentar, pelaksanannya yakin akan lurus? dari ide aman, tp pelaksanannya percuma kalo duit dikorupsi. saya ga setuju, mending jgn terllau banyak konsep. kebijakan kebijakan mulu",negatif
TXT137,Mantap,positif
TXT138,"jauhkan dosen n guru dari tugas yg administratif dong pak menteri,  ga ada yg ngajar. sama aja hahaha",negatif
TXT139,"Betul, inilah pemikiran kaum muda yg tak pernah dipikirkan oleh menteri sebelum nya, nggak tau dia ngerjain apa sampai dipecat .",positif
TXT140,Awas! Kalian mahasiswa hanya disiapkan untuk dijadikan buruh upah murah oleh negara,negatif
TXT141,"trgntung kampus/ prodi kali yak banyak prodi yg g nerapin sistem magang. kalo dipaksa ada magang ya sulit, program nyusahin nih",negatif
TXT142,Khawatirnya mengincar gelar n minus karya,negatif
TXT143,belajar praktik itu perlu,positif
TXT144,Ini masih abstarck hanya buat motivasi saja. Sumpah ya analisanya keren banget. Karena melihat kondisi sekitar and kasus sebenenarnya. tp ingat terkadang kita butuh hidup yg gila untuk membentuk perubahan.,negatif
TXT145,rumit rumit rumit pasti gagal2,negatif
TXT146,Harus gitu.. Mentri harus tau semua di kementriannya..,positif
TXT147,"kebijakan ini sulit diterapkan apa lagi di masa seperti ini, jatuhnya akan jadi omdo aja mas",negatif
TXT148,"iya betul , ngga semua jurusan ada magangnya",negatif
TXT149,"Penjelasan beliau bisa dinikmati semua kalangan. Istilah -istilah seperti prodi, akreditasi dijelaskan dengan bahasa sederhana. Semoga pendidikan di Indonesia semakin maju.",positif
TXT150,Istimewahhhhhh... majulah indonesia kita....,positif
TXT151,ikutan aja lah,positif
TXT152,Kunci menjadi negara maju : Pendidikan!,positif
TXT153,"praktek tanpa didasari teori yg seimbang bakal praktek asal asalan, banyak salah karena ga paham yg dia kerjakan, ",negatif
TXT154,"Ini yg kita biasanya sebut keinginan, bukan sekedar menjabat. keinginan utk melakukan yg terbaik bagi bangsa, merubah utk kebaikan, berpikir di luar biasanya. mantap pak menteri. ",positif
TXT155,"ITUlah CARA yg paling baik n BERKWALITAS,  MAJU terus, memang dilatih belajar n bekerja baru boleh TERJUN JADI pekerja yg BERKWALITAS n PROFESIONAL, Karena SEIRING Ada teori serta PRAKTIK belajar BERADAPTASI harus TERLATIH itulah TERCIPTA SDM yg unggul n BERKWALITAS.",positif
TXT156,Efisien  Efektif professional (piawai )di bidangnya masing masing 😎😆😀🙏👍,positif
TXT157,"Mahasiswa skrg yg penting cepet lulus,  ngambil KKN yg deket n cepet, ngambil magang jg yg deket n cepet, dah lulus trs bingung mw ngapain.",negatif
TXT158,yuk semangat,positif
TXT159,Keren binus selangkah lebih maju 👍👍👍,positif
TXT160,korupsi lagi nih bau bau,negatif
TXT161,"Kebijakan mas Menteri ini menjawab konteks sekarang yg serba cepat, ",positif
TXT162,"Ini baru namanya presentasi, slide nya bagus, isinya jelas, n tujuannya ada. Bukan salin dr dokumen... top mas menteri",positif
TXT163,"Indonesia makin luar biasa keren ,  ayo bersatu biar negara tetangga pada keok kalau kita kuat ",positif
TXT164,Luar biasa. Saya setuju sekali 3smester akhir mhasiswa kkn di daerah seluruh indonesia. Ga perlu di ragukan lagi. Ini salah satu solusi memajukan bangsa. Semangat pak nadiem,positif
TXT165,"Sebagai calon mahasiswa tahun 2020, sangat sangat antusias buat memulai, keren.",positif
TXT166,Chanel apaan ini coba ga guna tau kita semua tidak ngerti goblokkk\\n,negatif
TXT167,Dimudahkan  buat prodi baru bukan berarti kualitasnya asal asalan karena jgn sampai kualitas pendidikan kita makin menurun akibat biaya mahal n inflasi pendidikan yg tinggi.,negatif
TXT168,Setuju saya pak,positif
TXT169,saya pesimis dengan mental birokrasi skrg untuk mewujudkan itu.,negatif
TXT170,revoluisioner semoga sukses,positif
TXT171,"kebijakan yg terlalu sempurna, di belakang banyak boroknya. korupsi misalnya",negatif
TXT172,"aduh omdo banget, mana kenyataannya",negatif
TXT173,"bisa bisa ayo sukseskan bersama, ini kebijakan keren loh untuk peningkatan pendidikan ",positif
TXT174,Efisien  Efektif professional (piawai )di bidangnya masing masing 😎😆😀🙏👍,positif
TXT175,Efisien  Efektif professional (piawai )di bidangnya masing masing 😎😆😀🙏👍,positif
TXT176,"mirip sistem jepang + eropa, sulit diterapkan di indo",negatif
TXT177,"tolong jgn sibuk menata kebijakan, lihat kondisi lapangan. saya gak setuju!",negatif
TXT178,saya pernah rasakan sulitnya cari perusahaan yg mau terima saya magang tanpa bantuan orang dalam,negatif
TXT179,Klo emg mau 3 semester digaji dong pak:( 🤣,negatif
TXT180,Makanya kita perlu mnguasai beberapa bidang ilmu yg lain. Dunia kerja skrng beberapa bidang ilmu di gabungkan jadi satu n saling bersinergi,positif
